# t, p, e, x, pp, pt, pr
2.009806786753699183e+07,9.268989330872351218e+00,2.742369466773518227e-01,1.000000000000000000e+00,9.995649566337576834e+04,9.995649566337576834e+04,6.590146404896401509e+04
2.034830710836587846e+07,9.205457696775811272e+00,2.715621428395163517e-01,1.000000000000000000e+00,1.016349532960913930e+05,1.016349532960913930e+05,6.688975043425100739e+04
2.064604121922902390e+07,9.127207082310144770e+00,2.682898151898732708e-01,1.000000000000000000e+00,1.036598942884152493e+05,1.036598942884152493e+05,6.807332891327762627e+04
2.094377533009216562e+07,9.045792051184294635e+00,2.649120979113148699e-01,1.000000000000000000e+00,1.057168849371207762e+05,1.057168849371207762e+05,6.926541360059393628e+04
2.124150944095531106e+07,8.960876460230771556e+00,2.614196605264366147e-01,1.000000000000000000e+00,1.078079498511610873e+05,1.078079498511610873e+05,7.046611651502089808e+04
2.149575250364546478e+07,8.885295950114189267e+00,2.583385028791134741e-01,1.000000000000000000e+00,1.096222536105989711e+05,1.096222536105989711e+05,7.149831863183074165e+04
2.174999556633561477e+07,8.806580637114658217e+00,2.551581543701114674e-01,1.000000000000000000e+00,1.114646778165524884e+05,1.114646778165524884e+05,7.253690784191364946e+04
2.200423862902576849e+07,8.724384843959187563e+00,2.518697719698873572e-01,1.000000000000000000e+00,1.133370352013041556e+05,1.133370352013041556e+05,7.358189658900670474e+04
2.225848169171592221e+07,8.638296079692876717e+00,2.484631395982845048e-01,1.000000000000000000e+00,1.152413840221578866e+05,1.152413840221578866e+05,7.463326316379154741e+04
2.245748567242645472e+07,8.567876504681779082e+00,2.457065290089790743e-01,1.000000000000000000e+00,1.167558115156076674e+05,1.167558115156076674e+05,7.546060762562746822e+04
2.265648965313698724e+07,8.494482330299852890e+00,2.428636549490599816e-01,1.000000000000000000e+00,1.182925623980676610e+05,1.182925623980676610e+05,7.629175748792405648e+04
2.282153411230789125e+07,8.431115205984491823e+00,2.404351475203282684e-01,1.000000000000000000e+00,1.195850381174235954e+05,1.195850381174235954e+05,7.698389454717625631e+04
2.299319154864243045e+07,8.362545841323534290e+00,2.378357415106619743e-01,1.000000000000000000e+00,1.209476493642238493e+05,1.209476493642238493e+05,7.770639132584762410e+04
2.316484898497697338e+07,8.290960874311696926e+00,2.351552379605138243e-01,1.000000000000000000e+00,1.223301346295461699e+05,1.223301346295461699e+05,7.843145208209021075e+04
2.331389599374676496e+07,8.226078996590880266e+00,2.327566602865980550e-01,1.000000000000000000e+00,1.235476742840979277e+05,1.235476742840979277e+05,7.906296839457753231e+04
2.346294300251656026e+07,8.158366070054865915e+00,2.302865843777010535e-01,1.000000000000000000e+00,1.247821975038749515e+05,1.247821975038749515e+05,7.969616538893447432e+04
2.359189590713484213e+07,8.097236674574174842e+00,2.280874136572263178e-01,1.000000000000000000e+00,1.258648545453041152e+05,1.258648545453041152e+05,8.024521938014730404e+04
2.372910447459496185e+07,8.029290278786175961e+00,2.256793121310974037e-01,1.000000000000000000e+00,1.270326395588066807e+05,1.270326395588066807e+05,8.083050129107426619e+04
2.384550668699599430e+07,7.969022000600301858e+00,2.235772822641474977e-01,1.000000000000000000e+00,1.280369511264164903e+05,1.280369511264164903e+05,8.132774244515446480e+04
2.396190889939703047e+07,7.906045816080242261e+00,2.214171076339707112e-01,1.000000000000000000e+00,1.290545907228475844e+05,1.290545907228475844e+05,8.182545937548458460e+04
2.406379363648758829e+07,7.848433862866595945e+00,2.194755038436825012e-01,1.000000000000000000e+00,1.299569576434852352e+05,1.299569576434852352e+05,8.226132775213068817e+04
2.416567837357814610e+07,7.788208182300101257e+00,2.174834931138922844e-01,1.000000000000000000e+00,1.308709161362603481e+05,1.308709161362603481e+05,8.269722449561045505e+04
2.425495372297573835e+07,7.733023566748155275e+00,2.156943131709195549e-01,1.000000000000000000e+00,1.316819097100488434e+05,1.316819097100488434e+05,8.307902787291446293e+04
2.434422907237333059e+07,7.675298590071585991e+00,2.138623422816223196e-01,1.000000000000000000e+00,1.325030148111413291e+05,1.325030148111413291e+05,8.346050817430880852e+04
2.442211383710191771e+07,7.622602591591251198e+00,2.122278412545428039e-01,1.000000000000000000e+00,1.332281559025065508e+05,1.332281559025065508e+05,8.379288082501066674e+04
2.449999860183050483e+07,7.567445305754409546e+00,2.105586478019340069e-01,1.000000000000000000e+00,1.339620508467904001e+05,1.339620508467904001e+05,8.412466188926996256e+04
2.456769023425481096e+07,7.517249377299255464e+00,2.090794347838588196e-01,1.000000000000000000e+00,1.346074788493427914e+05,1.346074788493427914e+05,8.441237200397816196e+04
2.463538186667911708e+07,7.464672649000990035e+00,2.075739906357476072e-01,1.000000000000000000e+00,1.352604382679614646e+05,1.352604382679614646e+05,8.469929555116403208e+04
2.469400791119423136e+07,7.416958390353186381e+00,2.062497162910484350e-01,1.000000000000000000e+00,1.358324439924842154e+05,1.358324439924842154e+05,8.494699352413651650e+04
2.475263395570934564e+07,7.366942830595148983e+00,2.049078838470723418e-01,1.000000000000000000e+00,1.364108943143965735e+05,1.364108943143965735e+05,8.519377293860598002e+04
2.480318374049801007e+07,7.321717975728100569e+00,2.037386551152695902e-01,1.000000000000000000e+00,1.369151836285134195e+05,1.369151836285134195e+05,8.540566225668578409e+04
2.482810993042046577e+07,7.298618964081835081e+00,2.031587093440283820e-01,1.000000000000000000e+00,1.371658423002188792e+05,1.371658423002188792e+05,8.550978988117088738e+04
2.485303612034292147e+07,7.274944035977495282e+00,2.025770648275512509e-01,1.000000000000000000e+00,1.374178776363025245e+05,1.374178776363025245e+05,8.561365371328614128e+04
2.489293319096465036e+07,7.235745141976856587e+00,2.016439559104142021e-01,1.000000000000000000e+00,1.378242782727602753e+05,1.378242782727602753e+05,8.577928774473063822e+04
2.493543650711168349e+07,7.192016303484940920e+00,2.006501878903249048e-01,1.000000000000000000e+00,1.382615041274760151e+05,1.382615041274760151e+05,8.595479751504241722e+04
2.497239627455296740e+07,7.152109843433553493e+00,1.997905103595178644e-01,1.000000000000000000e+00,1.386455330114081153e+05,1.386455330114081153e+05,8.610649633668045863e+04
2.500935604199425131e+07,7.110191816411200350e+00,1.989406775697792618e-01,1.000000000000000000e+00,1.390333796755078074e+05,1.390333796755078074e+05,8.625719858094352821e+04
2.504063855125088617e+07,7.072906607605582430e+00,1.982349641967308951e-01,1.000000000000000000e+00,1.393648461594684923e+05,1.393648461594684923e+05,8.638385213158620172e+04
2.505477215502344817e+07,7.055450022350873596e+00,1.979221124772584661e-01,1.000000000000000000e+00,1.395156229456510337e+05,1.395156229456510337e+05,8.644077045954258938e+04
2.506890575879601389e+07,7.037576586933012024e+00,1.976141154495557328e-01,1.000000000000000000e+00,1.396670629844491195e+05,1.396670629844491195e+05,8.649748165360961866e+04
